21A,22A,22B,23A,23B,ra_obj,dec_obj
,,C202210110004571m004426,,C202308310004571m004425,1.2378850309232756,-0.7404058423476934
,,C202210110005044m011837,,C202308040005044m011837,1.2684683945678261,-1.3103530153037568
,,,,C202308040005046m002228,1.2690082416660466,-0.3745232359801846
,,T202209140005060m004753,,,1.274862988795341,-0.7980338531212241
,,T202307110005064m012904,,T202308030005063m012904,1.2764143830349561,-1.4845342767160357
,,C202210110005071m001049,,,1.2795012550334521,-0.1802207738404163
,,,,C202308250005073m010831,1.2802959022707017,-1.1418587972788137
,,C202210110005074m013343,,,1.2809230206562052,-1.5618752689198965
,,C202209090005090m000919,,C202308040005090m000919,1.2876485111724503,-0.1553778676129626
,,C202209090005096m001452,,C202308030005096m001452,1.2899006372831043,-0.24786858584551805
,,C202210060005104m012651,,,1.293133875930097,-1.4476027469595767
,,,,C202308040005107m005315,1.2943769262313929,-0.8875692442866948
,,C202307260005112m012337,,,1.2966058610999194,-1.3934999862487891
,,C202209140005115m001501,,,1.29778379123785,-0.2501987236177635
,,,,C202308030005119m002448,1.2997269836420209,-0.4132347457309977
,,,,A202308250005122m004322,1.3010066742586364,-0.7227952628504872
,,T202307200005125m000207,,,1.3020054136364874,-0.03517633903883185
,,C202209140005146m001213,,,1.3107056766632068,-0.2035351414632656
,,C202210060005147m014045,,C202308040005147m014045,1.311048933890186,-1.6791711806837895
,,C202209140005159m011721,,,1.3162685536982603,-1.2891780237677066
,,A202210290005159m003731,,T202308040005159m003730,1.31633615981312,-0.6251394638534986
,,A202209090005162m003260,,,1.31757768492273,-0.5499990473494649
,,T202209140005167m002856,,T202309090005167m002856,1.3196844011143432,-0.4821246169426292
,,A202210290005170m004514,,,1.3207566195516651,-0.7539449601363318
,,C202209140005171m003323,,C202308030005171m003323,1.3211436282555682,-0.556520486249541
,,,,C202308030005189m012848,1.3286899746454797,-1.4800832012781941
,,C202209140005191m002532,,,1.3295791073964247,-0.425670406197748
,,T202209140005201m012258,,T202308040005201m012258,1.33383848155781,-1.382795596299877
,,,,C202308030005239m013352,1.3494128160642715,-1.5645339407087269
,,C202210200005252m013338,,,1.3551391234419925,-1.5604659579859654
,,,,T202308250005263m005126,1.3596934732051895,-0.8572604181753507
,,C202209140005278m014235,,C202308040005277m014235,1.3656548055798408,-1.709614876441259
,,,,C202308030005282m000847,1.3675429822832152,-0.1462880243367993
,,C202209140005286m001229,,C202308030005286m001229,1.369111851937342,-0.20812620395815914
,,,,T202308130005288m010121,1.369921696177992,-1.022592070472521
,,A202209140005290m011129,,,1.370826475275831,-1.1914890551349793
,,C202209140005325m010330,,C202308250005325m010329,1.3855070403731413,-1.058238244979305
,,,,A202308130005327m013026,1.3863319937840797,-1.507359090289514
,,C202210060005339m002802,,A202308130005339m002802,1.3914298945719334,-0.4671693423676406
,,T202209140005341m013926,,,1.3919945360772457,-1.6571054737108522
,,,,C202308040005342m003553,1.392693023038376,-0.5979434595797125
,,T202209090005350m010308,,T202308250005350m010308,1.3958502574754683,-1.052178343409702
,,T202210200005357m011739,,C202308040005357m011739,1.3985510901430562,-1.294114201181397
,,T202209140005369m013936,,T202308020005369m013936,1.4036326346462265,-1.6599805995223014
,,,,T202308040005370m003417,1.4040965665729217,-0.5713188625059212
,,T202210020005374m013953,,T202308020005374m013953,1.4057193968106316,-1.664819691954536
,,,,T202308070005378m010755,1.40770294403775,-1.1318082356279728
,,C202209140005401m014813,,C202309090005401m014813,1.4170502655112398,-1.8035729227700599
