,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
524,A202302141052264m081609,,,,A202302141052264m081609,,163.10996092119532,-8.269180096635345,,,,N
525,C202303281052242m074807,,,,C202303281052242m074807,,163.1008334232608,-7.801935828593947,,,,N
526,T202302021052172m052234,,,,T202302021052172m052234,,163.07161708161456,-5.376011960328456,,,,N
527,T202312141052059m081537,,,,T202312141052059m081537,,163.02437616404654,-8.260226580732963,0.21898984908347574,1.5542480946479092e-05,GALAXY,Y
528,C202212191051546m061511,,,C202212191051546m061511,,,162.9773078238286,-6.253022006555183,,,,N
529,T202312201051448m065928,,,,T202312201051448m065928,,162.93648323266038,-6.991003278420295,,,,N
530,A202312141051378m081307,,,,A202312141051378m081307,,162.90739825379097,-8.218689885229134,0.22956269534560522,8.111716339418627e-05,GALAXY,Y
531,A202302021051369m073747,,,,A202302021051369m073747,,162.9036434555623,-7.6297283197757375,,,,N
532,C202212131051029m061317,,,C202212131051029m061317,C202302021051029m061318,,162.76200706051904,-6.221519343637359,,,,N
533,C202303101050136m071159,,,,C202303101050136m071159,,162.5564992153055,-7.199679683709536,,,,N
534,T202303281049540m052025,,,,T202303281049540m052025,,162.47508207546082,-5.340156801249433,,,,N
535,C202212191049483m063944,,,C202212191049483m063944,C202302021049483m063944,,162.45120277078723,-6.662272057207252,,,,N
536,T202401041049347m061139,,,,T202401041049347m061139,,162.39457058053128,-6.194228006678786,,,,N
537,T202302171049048m063538,,,,T202302171049048m063538,,162.27010743896847,-6.593932219598164,,,,N
538,C202312201048286m071440,,,,C202312201048286m071440,,162.1193584071929,-7.244465043249015,,,,N
539,C202212191047461m082204,,,C202212191047461m082204,,,161.9421076666321,-8.367639720791146,,,,N
540,T202212191046047m054312,,,T202212191046047m054312,,,161.5195823784638,-5.719935909098807,0.24651917441311924,3.5689045334634444e-06,GALAXY,Y
541,A202312111045542m070023,,,,A202312111045542m070023,,161.47591880842822,-7.006302620598923,0.45846281511983716,0.00013912848576276953,GALAXY,Y
542,C202302021045342m075442,,,,C202302021045342m075442,,161.39229565543826,-7.911669344149303,,,,N
543,C202312201045321m080614,,,,C202312201045321m080614,,161.38365514701337,-8.103919961731727,,,,N
544,T202302111045240m055942,,,,T202302111045240m055942,,161.35019911926491,-5.995088707403232,0.33819503785491606,1.3709318982409172e-05,GALAXY,Y
545,T202312201045184m065604,,,,T202312201045184m065604,,161.32652942942204,-6.934561185971473,0.48519478127694715,5.68011019587802e-06,GALAXY,Y
546,T202303041044560m063818,,,,T202303041044560m063818,,161.23314872960302,-6.6383431694897865,0.053370833268209225,1.6929395663282114e-06,GALAXY,Y
547,C202312111044429m065812,,,,C202312111044429m065812,,161.17863547155238,-6.970049496054072,,,,N
548,T202302021044136m055215,,,,T202302021044136m055215,,161.05666676171705,-5.870902483730987,,,,N
549,C202212131043584m061405,,,C202212131043584m061405,,,160.9932255322839,-6.234596148248047,0.2769683932028911,2.224160128289048e-05,GALAXY,Y
550,T202302111043343m070233,,,,T202302111043343m070233,,160.89294390999217,-7.042466629195716,,,,N
551,C202212251043315m071004,,,C202212251043315m071004,,,160.88109161482598,-7.1676951537285,,,,N
552,T202302021042372m062304,,,,T202302021042372m062304,,160.65519283422458,-6.384401259493036,,,,N
553,C202212281042324m054644,,,C202212281042324m054644,C202302021042324m054644,,160.635066452312,-5.7788227257077205,0.29325047023630996,1.7836891639042944e-05,QSO,Y
554,C202302171041387m051925,,,,C202302171041387m051925,,160.4113693805484,-5.323543133398572,,,,N
555,T202303221041297m060239,,,,T202303221041297m060239,,160.37390690989602,-6.044088455940747,0.05284913407827126,1.6592673074758121e-06,GALAXY,Y
556,C202401041041262m075952,,,,C202401041041262m075952,,160.35926266709586,-7.997694496450549,,,,N
557,C202312201041050m064646,,,,C202312201041050m064646,,160.27066371223688,-6.779382419193103,,,,N
558,A202212191041000m054522,,,A202212191041000m054522,,,160.25014862973302,-5.75610476446299,0.1750174091892234,7.86303613122101e-05,GALAXY,Y
559,T202212191040554m054830,,,T202212191040554m054830,,,160.23094373820763,-5.808244786291483,,,,N
560,T202212251040521m070804,,,T202212251040521m070804,T202302141040521m070804,,160.21721289049827,-7.134430287504445,,,,N
561,T202301091040165m080615,,,T202301091040165m080615,,,160.06871733452263,-8.1040658212944,0.21579124874089395,6.034530311420738e-06,GALAXY,Y
562,T202212131039437m072425,,,T202212131039437m072425,,,159.93196292591156,-7.406950517388357,,,,N
563,T202302171039394m065425,,,,T202302171039394m065425,,159.91436218122237,-6.907026391065784,,,,N
564,T202303011039310m072019,,,,T202303011039310m072019,,159.879212965398,-7.338659965368548,,,,N
